Problem No;         Result;   Time Taken(In Milliseconds);         State;Actual Solution;Actual State
78;;;;55374;FALSE
79;;;;73162890;FALSE
80;;;;40886;FALSE
81;;;;427337;FALSE
82;;;;260324;FALSE
83;;;;425185;FALSE
84;;;;101524;FALSE
85;;;;2772;FALSE
86;;;;1818;FALSE
87;;;;1097343;FALSE
88;;;;7587457;FALSE
89;;;;743;FALSE
90;;;;1217;FALSE
91;;;;14234;FALSE
92;;;;8581146;FALSE
93;;;;1258;FALSE
94;;;;518408346;FALSE
95;;;;14316;FALSE
96;;;;24702;FALSE
97;;;;8739992577;FALSE
98;;;;18769;FALSE
99;;;;709;FALSE
100;;;;756872327473;FALSE
101;;;;37076114526;FALSE
102;;;;228;FALSE
103;;;;20313839404245;FALSE
104;;;;329468;FALSE
105;;;;73702;FALSE
106;;;;21384;FALSE
107;;;;259679;FALSE
108;;;;180180;FALSE
109;;;;38182;FALSE
110;;;;9350130049860600;FALSE
111;;;;612407567715;FALSE
112;;;;1587000;FALSE
113;;;;51161058134250;FALSE
114;;;;16475640049;FALSE
115;;;;168;FALSE
116;;;;20492570929;FALSE
117;;;;100808458960497;FALSE
118;;;;44680;FALSE
119;;;;248155780267521;FALSE
120;;;;333082500;FALSE
121;;;;2269;FALSE
122;;;;1582;FALSE
123;;;;21035;FALSE
124;;;;21417;FALSE
125;;;;2906969179;FALSE
126;;;;18522;FALSE
127;;;;18407904;FALSE
128;;;;14516824220;FALSE
129;;;;1000023;FALSE
130;;;;149253;FALSE
131;;;;173;FALSE
132;;;;843296;FALSE
133;;;;453647705;FALSE
134;;;;18613426663617100;FALSE
135;;;;4989;FALSE
136;;;;2544559;FALSE
137;;;;1120149658760;FALSE
138;;;;1118049290473930;FALSE
139;;;;10057761;FALSE
140;;;;5673835352990;FALSE
141;;;;878454337159;FALSE
142;;;;1006193;FALSE
143;;;;30758397;FALSE
144;;;;354;FALSE
145;;;;608720;FALSE
146;;;;676333270;FALSE
147;;;;846910284;FALSE
148;;;;2129970655314430;FALSE
149;;;;52852124;FALSE
150;;;;-271248680;FALSE
151;;;;0.464399;FALSE
152;;;;301;FALSE
153;;;;17971254122360600;FALSE
154;;;;479742450;FALSE
155;;;;3857447;FALSE
156;;;;21295121502550;FALSE
157;;;;53490;FALSE
158;;;;409511334375;FALSE
159;;;;14489159;FALSE
160;;;;16576;FALSE
161;;;;20574308184278000;FALSE
162;;;;3D58725572C62302;FALSE
163;;;;343047;FALSE
164;;;;378158756814587;FALSE
165;;;;2868868;FALSE
166;;;;7130034;FALSE
167;;;;3916160068885;FALSE
168;;;;59206;FALSE
169;;;;178653872807;FALSE
170;;;;9857164023;FALSE
171;;;;142989277;FALSE
172;;;;227485267000992000;FALSE
173;;;;1572729;FALSE
174;;;;209566;FALSE
175;;;;1,13717420,8;FALSE
176;;;;96818198400000;FALSE
177;;;;129325;FALSE
178;;;;126461847755;FALSE
179;;;;986262;FALSE
180;;;;285196020571079000;FALSE
181;;;;83735848679360700;FALSE
182;;;;399788195976;FALSE
183;;;;48861552;FALSE
184;;;;1725323624056;FALSE
185;;;;4640261571849530;FALSE
186;;;;2325629;FALSE
187;;;;17427258;FALSE
188;;;;95962097;FALSE
189;;;;10834893628237800;FALSE
190;;;;371048281;FALSE
191;;;;1918080160;FALSE
192;;;;57060635927998300;FALSE
193;;;;684465067343069;FALSE
194;;;;61190912;FALSE
195;;;;75085391;FALSE
196;;;;322303240771080000;FALSE
197;;;;1.710637717;FALSE
198;;;;52374425;FALSE
199;;;;0.00396087;FALSE
200;;;;229161792008;FALSE
201;;;;115039000;FALSE
202;;;;1209002624;FALSE
203;;;;34029210557338;FALSE
204;;;;2944730;FALSE
205;;;;0.5731441;FALSE
206;;;;1389019170;FALSE
207;;;;44043947822;FALSE
208;;;;331951449665645000;FALSE
209;;;;15964587728784;FALSE
210;;;;1598174770174690000;FALSE
211;;;;1922364685;FALSE
212;;;;328968937309;FALSE
213;;;;330.721154;FALSE
214;;;;1677366278943;FALSE
215;;;;806844323190414;FALSE
216;;;;5437849;FALSE
217;;;;6273134;FALSE
218;;;;0;FALSE
219;;;;64564225042;FALSE
220;;;;139776,963904;FALSE
221;;;;1884161251122450;FALSE
222;;;;1590933;FALSE
223;;;;61614848;FALSE
224;;;;4137330;FALSE
225;;;;2009;FALSE
226;;;;0.11316017;FALSE
227;;;;3780.618622;FALSE
228;;;;86226;FALSE
229;;;;11325263;FALSE
230;;;;850481152593119000;FALSE
231;;;;7526965179680;FALSE
232;;;;0.83648556;FALSE
233;;;;271204031455541000;FALSE
234;;;;1259187438574930000;FALSE
235;;;;1.0023221086;FALSE
236;;;;123/59;FALSE
237;;;;15836928;FALSE
238;;;;9922545104535660;FALSE
239;;;;0.0018878548;FALSE
240;;;;7448717393364180000;FALSE
241;;;;482316491800641000;FALSE
242;;;;997104142249037000;FALSE
243;;;;892371480;FALSE
244;;;;96356848;FALSE
245;;;;288084712410001;FALSE
246;;;;810834388;FALSE
247;;;;782252;FALSE
248;;;;23507044290;FALSE
249;;;;9275262564250420;FALSE
250;;;;1425480602091520;FALSE
251;;;;18946051;FALSE
252;;;;104924;FALSE
253;;;;11.492847;FALSE
254;;;;8184523820510;FALSE
255;;;;4.447401118;FALSE
256;;;;85765680;FALSE
257;;;;139012411;FALSE
258;;;;12747994;FALSE
259;;;;20101196798;FALSE
260;;;;167542057;FALSE
261;;;;238890850232021;FALSE
262;;;;2531.205;FALSE
263;;;;2039506520;FALSE
264;;;;2816417.1055;FALSE
265;;;;209110240768;FALSE
266;;;;1096883702440590;FALSE
267;;;;0.9999928362;FALSE
268;;;;785478606870985;FALSE
269;;;;1311109198529290;FALSE
270;;;;82282080;FALSE
271;;;;4617456485273130000;FALSE
272;;;;8495585919506150000;FALSE
273;;;;2032447591196870000;FALSE
274;;;;1601912348822;FALSE
275;;;;15030564;FALSE
276;;;;5777137137739630000;FALSE
277;;;;1125977393124310;FALSE
278;;;;1228215747273910000;FALSE
279;;;;416577688;FALSE
280;;;;430.088247;FALSE
281;;;;1485776387445620;FALSE
282;;;;1098988351;FALSE
283;;;;28038042525570300;FALSE
284;;;;5a411d7b;FALSE
285;;;;157055.80999;FALSE
286;;;;52.6494571953;FALSE
287;;;;313135496;FALSE
288;;;;605857431263982000;FALSE
289;;;;6567944538;FALSE
290;;;;20444710234716500;FALSE
291;;;;4037526;FALSE
292;;;;3600060866;FALSE
293;;;;2209;FALSE
294;;;;789184709;FALSE
295;;;;4884650818;FALSE
296;;;;1137208419;FALSE
297;;;;2252639041804720000;FALSE
298;;;;1.76882294;FALSE
299;;;;549936643;FALSE
300;;;;8.0540771484;FALSE
301;;;;2178309;FALSE
302;;;;1170060;FALSE
303;;;;1111981904675170;FALSE
304;;;;283988410192;FALSE
305;;;;18174995535140;FALSE
306;;;;852938;FALSE
307;;;;0.7311720251;FALSE
308;;;;1539669807660920;FALSE
309;;;;210139;FALSE
310;;;;2586528661783;FALSE
311;;;;2466018557;FALSE
312;;;;324681947;FALSE
313;;;;2057774861813000;FALSE
314;;;;132.52756426;FALSE
315;;;;13625242;FALSE
316;;;;542934735751918000;FALSE
317;;;;1856532.8455;FALSE
318;;;;709313889;FALSE
319;;;;268457129;FALSE
320;;;;278157919195483000;FALSE
321;;;;2470433131948040;FALSE
322;;;;999998760323314000;FALSE
323;;;;6.3551758451;FALSE
324;;;;96972774;FALSE
325;;;;54672965;FALSE
326;;;;1966666166408790000;FALSE
327;;;;34315549139516;FALSE
328;;;;260511850222;FALSE
329;;;;199740353/29386561536000;FALSE
330;;;;15955822;FALSE
331;;;;467178235146844000;FALSE
332;;;;2717.751525;FALSE
333;;;;3053105;FALSE
334;;;;150320021261691000;FALSE
335;;;;5032316;FALSE
336;;;;CAGBIHEFJDK;FALSE
337;;;;85068035;FALSE
338;;;;15614292;FALSE
339;;;;19823.542204;FALSE
340;;;;291504964;FALSE
341;;;;56098610614277000;FALSE
342;;;;5943040885644;FALSE
343;;;;269533451410884000;FALSE
344;;;;65579304332;FALSE
345;;;;13938;FALSE
346;;;;336108797689259000;FALSE
347;;;;11109800204052;FALSE
348;;;;1004195061;FALSE
349;;;;115384615384615000;FALSE
350;;;;84664213;FALSE
351;;;;11762187201804600;FALSE
352;;;;378563.260589;FALSE
353;;;;1.2759860331;FALSE
354;;;;58065134;FALSE
355;;;;1726545007;FALSE
356;;;;28010159;FALSE
357;;;;1739023853137;FALSE
358;;;;3284144505;FALSE
359;;;;40632119;FALSE
360;;;;878825614395267000;FALSE
361;;;;178476944;FALSE
362;;;;457895958010;FALSE
363;;;;3.72091E-005;FALSE
364;;;;44855254;FALSE
365;;;;162619462356610000;FALSE
366;;;;88351299;FALSE
367;;;;48271207;FALSE
368;;;;253.6135092068;FALSE
369;;;;862400558448;FALSE
370;;;;41791929448408;FALSE
371;;;;40.66368097;FALSE
372;;;;301450082318807000;FALSE
373;;;;727227472448913;FALSE
374;;;;334420941;FALSE
375;;;;7435327983715290000;FALSE
376;;;;973059630185670;FALSE
377;;;;732385277;FALSE
378;;;;147534623725725000;FALSE
379;;;;132314136838185;FALSE
380;;;;INF;FALSE
381;;;;139602943319822;FALSE
382;;;;697003956;FALSE
383;;;;22173624649806;FALSE
384;;;;3354706415856330000;FALSE
385;;;;3776957309612150000;FALSE
386;;;;528755790;FALSE
387;;;;696067597313468;FALSE
388;;;;831907372805130000;FALSE
389;;;;2406376.3623;FALSE
390;;;;2919133642971;FALSE
391;;;;61029882288;FALSE
392;;;;3.1486734435;FALSE
393;;;;112398351350823000;FALSE
394;;;;3.2370342194;FALSE
395;;;;28.2453753155;FALSE
396;;;;173214653;FALSE
397;;;;141630459461894000;FALSE
398;;;;2010.59096;FALSE
399;;;;1508395636674243,6.5e27330467 ;FALSE
400;;;;438505383468411000;FALSE
401;;;;281632621;FALSE
402;;;;356019862;FALSE
403;;;;18224771;FALSE
404;;;;1199215615081350;FALSE
405;;;;237696125;FALSE
406;;;;36813.12757207;FALSE
407;;;;39782849136421;FALSE
408;;;;299742733;FALSE
409;;;;253223948;FALSE
410;;;;799999783589947000;FALSE
411;;;;9936352;FALSE
412;;;;38788800;FALSE
413;;;;3079418648040720;FALSE
414;;;;552506775824935000;FALSE
415;;;;55859742;FALSE
416;;;;898082747;FALSE
417;;;;446572970925740;FALSE
418;;;;1177163565297340000;FALSE
419;;;;998567458,1046245404,43363922;FALSE
420;;;;145159332;FALSE
421;;;;2304215802083470000;FALSE
422;;;;92060460;FALSE
423;;;;653972374;FALSE
424;;;;1059760019628;FALSE
425;;;;46479497324;FALSE
426;;;;31591886008;FALSE
427;;;;97138867;FALSE
428;;;;747215561862;FALSE
429;;;;98792821;FALSE
430;;;;5000624921.38;FALSE
431;;;;23.386029052;FALSE
432;;;;754862080;FALSE
433;;;;326624372659664;FALSE
434;;;;863253606;FALSE
435;;;;252541322550;FALSE
436;;;;0.5276662759;FALSE
437;;;;74204709657207;FALSE
438;;;;;FALSE
439;;;;;FALSE
440;;;;;FALSE
441;;;;5000088.8395;FALSE
442;;;;1295552661530920000;FALSE
443;;;;2744233049300770;FALSE
444;;;;;FALSE
445;;;;;FALSE
446;;;;;FALSE
447;;;;;FALSE
448;;;;;FALSE
449;;;;103.37870096;FALSE
450;;;;;FALSE
451;;;;153651073760956;FALSE
452;;;;345558983;FALSE
453;;;;;FALSE
454;;;;5435004633092;FALSE
455;;;;450186511399999;FALSE
456;;;;333333208685972000;FALSE
457;;;;;FALSE
458;;;;;FALSE
